material,ancho_m,largo_m,completa,tipo_corte,x_plano,y_plano
Moret,0.6,1.114,no,corte_largo,496.461,-82.563
Moret,0.6,1.114,no,corte_largo,495.859,-82.563
Moret,0.6,1.114,no,corte_largo,495.257,-82.563
Moret,0.6,1.114,no,corte_largo,494.655,-82.563
Moret,0.6,1.114,no,corte_largo,494.053,-82.563
Moret,0.6,1.074,no,corte_largo,493.451,-82.543
Moret,0.6,1.114,no,corte_largo,492.849,-82.563
Moret,0.6,1.114,no,corte_largo,492.247,-82.563
Moret,0.6,1.114,no,corte_largo,491.645,-82.563
Moret,0.6,1.114,no,corte_largo,491.043,-82.563
Moret,0.6,1.114,no,corte_largo,490.441,-82.563
Moret,0.6,1.114,no,corte_largo,489.839,-82.563
Moret,0.6,1.074,no,corte_largo,497.063,-82.543
Moret,0.394,1.074,no,corte_esquina,497.562,-82.543
Moret,0.25,1.15,no,corte_esquina,502.619,-87.315
Moret,0.27,1.15,no,corte_esquina,502.359,-87.315
Moret,0.27,1.15,no,corte_esquina,502.089,-87.315
Moret,0.27,1.15,no,corte_esquina,501.819,-87.315
Moret,0.27,1.15,no,corte_esquina,501.549,-87.315
Moret,0.27,1.15,no,corte_esquina,501.279,-87.315
Moret,0.27,1.15,no,corte_esquina,501.009,-87.315
Moret,0.27,1.15,no,corte_esquina,501.009,-88.465
Moret,0.27,1.15,no,corte_esquina,501.279,-88.465
Moret,0.27,1.15,no,corte_esquina,501.549,-88.465
Moret,0.27,1.15,no,corte_esquina,501.819,-88.465
Moret,0.27,1.15,no,corte_esquina,502.089,-88.465
Moret,0.27,1.15,no,corte_esquina,502.359,-88.465
Moret,0.25,1.15,no,corte_esquina,502.619,-88.465
Moret,0.6,1.15,no,corte_largo,500.574,-87.315
Moret,0.498,1.15,no,corte_esquina,500.023,-87.315
Moret,0.6,1.15,no,corte_largo,503.646,-88.465
Moret,0.6,1.15,no,corte_largo,503.044,-88.465
Moret,0.598,1.194,si,completa,503.645,-89.639
Moret,0.6,1.194,si,completa,503.044,-89.639
Moret,0.598,1.194,si,completa,503.645,-90.835
Moret,0.6,1.194,si,completa,503.044,-90.835
Moret,0.598,1.096,no,corte_largo,503.645,-91.982
Moret,0.6,1.096,no,corte_largo,503.044,-91.982
Moret,0.6,1.104,no,corte_largo,506.912,-89.178
Moret,0.6,1.194,si,completa,506.31,-89.223
Moret,0.6,1.194,si,completa,505.708,-89.223
Moret,0.6,1.194,si,completa,505.106,-89.223
Moret,0.6,1.104,no,corte_largo,504.504,-89.178
Moret,0.6,1.104,no,corte_largo,507.514,-89.178
Moret,0.078,1.104,no,corte_esquina,504.163,-89.178
Moret,0.6,1.194,si,completa,505.708,-88.027
Moret,0.6,1.194,si,completa,505.106,-88.027
Moret,0.6,1.194,si,completa,504.504,-88.027
Moret,0.6,1.194,si,completa,506.31,-88.027
Moret,0.6,0.684,no,corte_largo,506.912,-88.282
Moret,0.6,0.684,no,corte_largo,507.514,-88.282
Moret,0.6,0.688,no,corte_largo,504.504,-87.084
Moret,0.6,0.688,no,corte_largo,505.106,-87.084
Moret,0.6,0.688,no,corte_largo,505.708,-87.084
Royal Walnut,0.214,0.688,no,corte_esquina,506.117,-87.084
Moret,0.078,1.194,no,corte_ancho,504.163,-88.027
Moret,0.078,0.688,no,corte_esquina,504.163,-87.084
Moret,0.598,1.194,si,completa,503.645,-87.291
Moret,0.6,1.194,si,completa,503.044,-87.291
Moret,0.598,1.194,si,completa,503.645,-86.095
Moret,0.6,1.194,si,completa,503.044,-86.095
Moret,0.5272,0.598,no,corte_esquina,503.645,-85.233
Moret,0.6,1.194,si,completa,503.044,-84.899
Moret,0.436,0.518,no,corte_esquina,504.205,-85.278
Moret,0.518,1.062,no,corte_esquina,504.205,-86.029
Moret,0.598,1.194,si,completa,504.765,-85.657
Moret,0.598,1.194,si,completa,505.365,-85.657
Moret,0.598,1.194,si,completa,505.965,-85.657
Moret,0.348,1.194,no,corte_ancho,506.44,-85.657
Moret,0.304,0.598,no,corte_esquina,505.365,-86.408
Moret,0.304,0.54,no,corte_esquina,504.794,-86.408
Moret,0.304,0.598,no,corte_esquina,505.965,-86.408
Moret,0.304,0.348,no,corte_esquina,506.44,-86.408
Moret,0.589,0.598,no,corte_largo,496.46,-88.229
Moret,0.33,0.589,no,corte_esquina,495.994,-88.229
Moret,0.15,0.471,no,corte_esquina,495.634,-88.17
Moret,0.394,1.109,no,corte_esquina,497.562,-89.165
Moret,0.6,1.109,no,corte_largo,497.063,-89.165
Moret,0.6,1.194,si,completa,496.461,-89.122
Moret,0.6,1.194,si,completa,495.859,-89.122
Moret,0.6,1.194,si,completa,495.257,-89.122
Moret,0.136,1.194,no,corte_ancho,494.887,-89.122
Moret,0.439,0.6,no,corte_esquina,497.063,-89.941
Moret,0.439,0.6,no,corte_esquina,496.461,-89.941
Moret,0.439,0.6,no,corte_esquina,495.859,-89.941
Moret,0.439,0.6,no,corte_esquina,495.257,-89.941
Moret,0.136,0.439,no,corte_esquina,494.887,-89.941
Moret,0.274,0.439,no,corte_esquina,497.502,-89.941
