id,material,completa,tipo_corte,ancho_m,largo_m,x,y,cortar_de_baldosa
R-086,Royal Walnut,si,completa,0.200,1.200,503.447,-84.37,
R-087,Royal Walnut,no,corte_largo,0.200,0.510,504.05,-84.626,RW-69
R-088,Royal Walnut,no,corte_largo,0.200,0.510,504.452,-84.626,RW-70
R-089,Royal Walnut,no,corte_largo,0.200,0.510,504.854,-84.626,RW-70
R-090,Royal Walnut,no,corte_largo,0.200,0.510,505.256,-84.626,RW-71
R-091,Royal Walnut,no,corte_largo,0.200,0.510,505.658,-84.626,RW-71
R-092,Royal Walnut,no,corte_largo,0.200,0.510,506.06,-84.626,RW-72
R-093,Royal Walnut,no,corte_largo,0.200,0.510,506.462,-84.626,RW-72
R-094,Royal Walnut,no,corte_largo,0.200,0.510,506.864,-84.626,RW-73
R-095,Royal Walnut,no,corte_largo,0.200,0.510,507.266,-84.626,RW-73
R-096,Royal Walnut,no,corte_largo,0.200,0.510,507.668,-84.626,RW-74
R-097,Royal Walnut,no,corte_largo,0.200,0.600,502.844,-84.671,RW-64
R-098,Royal Walnut,no,corte_largo,0.200,0.600,503.246,-84.671,RW-64
R-099,Royal Walnut,no,corte_largo,0.200,0.600,503.648,-84.671,RW-65
R-100,Royal Walnut,no,corte_ancho,0.177,1.200,499.863,-84.91,RW-47
R-101,Royal Walnut,si,completa,0.200,1.200,500.253,-84.91,
R-102,Royal Walnut,si,completa,0.200,1.200,500.655,-84.91,
R-103,Royal Walnut,si,completa,0.200,1.200,501.057,-84.91,
R-104,Royal Walnut,si,completa,0.200,1.200,501.459,-84.91,
R-105,Royal Walnut,si,completa,0.200,1.200,501.861,-84.91,
R-106,Royal Walnut,si,completa,0.200,1.200,502.263,-84.91,
R-107,Royal Walnut,no,corte_ancho,0.214,1.194,497.472,-84.945,RW-01
R-108,Royal Walnut,si,completa,0.200,1.200,500.052,-85.51,
R-109,Royal Walnut,si,completa,0.200,1.200,500.454,-85.51,
R-110,Royal Walnut,si,completa,0.200,1.200,500.856,-85.51,
R-111,Royal Walnut,si,completa,0.200,1.200,501.258,-85.51,
R-112,Royal Walnut,si,completa,0.200,1.200,501.66,-85.51,
R-113,Royal Walnut,si,completa,0.200,1.200,502.062,-85.51,
R-114,Royal Walnut,si,completa,0.200,1.200,502.464,-85.511,
R-115,Royal Walnut,no,corte_esquina,0.177,1.050,499.863,-86.036,RW-61
R-116,Royal Walnut,no,corte_largo,0.200,1.050,500.253,-86.036,RW-48
R-117,Royal Walnut,no,corte_largo,0.200,1.050,500.655,-86.036,RW-49
R-118,Royal Walnut,no,corte_largo,0.200,1.050,501.057,-86.036,RW-50
R-119,Royal Walnut,no,corte_largo,0.200,1.050,501.459,-86.036,RW-51
R-120,Royal Walnut,no,corte_largo,0.200,1.050,501.861,-86.036,RW-52
R-121,Royal Walnut,no,corte_largo,0.200,1.050,502.263,-86.036,RW-53
R-122,Royal Walnut,no,corte_ancho,0.214,1.194,497.472,-86.141,RW-02
R-123,Royal Walnut,no,corte_largo,0.200,0.449,500.052,-86.336,RW-79
R-124,Royal Walnut,no,corte_largo,0.200,0.449,500.454,-86.336,RW-79
R-125,Royal Walnut,no,corte_largo,0.200,0.449,500.856,-86.336,RW-80
R-126,Royal Walnut,no,corte_largo,0.200,0.449,501.258,-86.336,RW-80
R-127,Royal Walnut,no,corte_largo,0.200,0.449,501.66,-86.336,RW-81
R-128,Royal Walnut,no,corte_largo,0.200,0.449,502.062,-86.336,RW-81
R-129,Royal Walnut,no,corte_largo,0.200,0.449,502.464,-86.336,RW-82
R-130,Royal Walnut,no,corte_esquina,0.214,0.688,506.117,-87.084,RW-63
R-131,Royal Walnut,no,corte_esquina,0.214,1.120,497.472,-87.3,RW-03
R-132,Royal Walnut,no,corte_largo,0.200,0.600,505.229,-90.121,RW-65
R-133,Royal Walnut,no,corte_largo,0.200,0.600,505.631,-90.121,RW-66
R-134,Royal Walnut,no,corte_largo,0.200,0.600,506.033,-90.121,RW-66
R-135,Royal Walnut,no,corte_largo,0.200,0.510,504.425,-90.166,RW-63
R-136,Royal Walnut,no,corte_largo,0.200,0.510,504.827,-90.166,RW-67
R-137,Royal Walnut,no,corte_largo,0.200,0.510,506.435,-90.166,RW-67
R-138,Royal Walnut,no,corte_largo,0.200,0.510,506.837,-90.166,RW-68
R-139,Royal Walnut,no,corte_largo,0.200,0.510,507.239,-90.166,RW-68
R-140,Royal Walnut,no,corte_largo,0.200,0.510,507.641,-90.166,RW-69
R-141,Royal Walnut,si,completa,0.200,1.200,505.43,-90.421,
R-142,Royal Walnut,si,completa,0.200,1.200,505.832,-90.421,
R-143,Royal Walnut,no,corte_largo,0.200,1.111,504.224,-90.466,RW-05
R-144,Royal Walnut,no,corte_largo,0.200,1.111,504.626,-90.466,RW-06
R-145,Royal Walnut,no,corte_largo,0.200,1.111,505.028,-90.466,RW-07
R-146,Royal Walnut,no,corte_largo,0.200,1.111,506.234,-90.466,RW-08
R-147,Royal Walnut,no,corte_largo,0.200,1.111,506.636,-90.466,RW-09
R-148,Royal Walnut,no,corte_largo,0.200,1.111,507.038,-90.466,RW-10
R-149,Royal Walnut,no,corte_largo,0.200,1.111,507.44,-90.466,RW-11
R-150,Royal Walnut,no,corte_esquina,0.182,1.120,496.67,-90.9,RW-54
R-151,Royal Walnut,no,corte_esquina,0.214,1.120,497.472,-90.9,RW-04
R-152,Royal Walnut,si,completa,0.200,1.200,504.425,-91.022,
R-153,Royal Walnut,si,completa,0.200,1.200,504.827,-91.022,
R-154,Royal Walnut,si,completa,0.200,1.200,505.229,-91.022,
R-155,Royal Walnut,si,completa,0.200,1.200,505.631,-91.022,
R-156,Royal Walnut,si,completa,0.200,1.200,506.033,-91.022,
R-157,Royal Walnut,si,completa,0.200,1.200,506.435,-91.022,
R-158,Royal Walnut,si,completa,0.200,1.200,506.837,-91.022,
R-159,Royal Walnut,si,completa,0.200,1.200,507.239,-91.022,
R-160,Royal Walnut,si,completa,0.200,1.200,507.641,-91.022,
R-161,Royal Walnut,si,completa,0.200,1.200,504.224,-91.622,
R-162,Royal Walnut,si,completa,0.200,1.200,504.626,-91.622,
R-163,Royal Walnut,si,completa,0.200,1.200,505.028,-91.622,
R-164,Royal Walnut,si,completa,0.200,1.200,505.43,-91.622,
R-165,Royal Walnut,si,completa,0.200,1.200,505.832,-91.622,
R-166,Royal Walnut,si,completa,0.200,1.200,506.234,-91.622,
R-167,Royal Walnut,si,completa,0.200,1.200,506.636,-91.622,
R-168,Royal Walnut,si,completa,0.200,1.200,507.038,-91.622,
R-169,Royal Walnut,si,completa,0.200,1.200,507.44,-91.622,
R-170,Royal Walnut,no,corte_ancho,0.072,1.200,507.778,-91.622,RW-83
R-171,Royal Walnut,no,corte_esquina,0.214,1.110,497.472,-92.017,RW-22
